Code	Barrio	Foreign born	Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
0600000US7205356344	Naranjo barrio, Fajardo Municipio, Puerto Rico	0.6	0
0600000US7205367223	Quebrada Fajardo barrio, Fajardo Municipio, Puerto Rico	0	26.8
0600000US7205367868	Quebrada Vueltas barrio, Fajardo Municipio, Puerto Rico	2.4	49.5
0600000US7205370233	Río Arriba barrio, Fajardo Municipio, Puerto Rico	0.3	37.3
0600000US7205379779	Sardinera barrio, Fajardo Municipio, Puerto Rico	0	10.8
0600000US7205428996	Florida Adentro barrio, Florida Municipio, Puerto Rico	3.3	53.9
0600000US7205500000	Municipio subdivision not defined, Guánica Municipio, Puerto Rico	1.8	-
0600000US7205503454	Arena barrio, Guánica Municipio, Puerto Rico	-	100
0600000US7205512785	Caño barrio, Guánica Municipio, Puerto Rico	0	49.9
0600000US7205514032	Carenero barrio, Guánica Municipio, Puerto Rico	0.7	51
0600000US7205518246	Ciénaga barrio, Guánica Municipio, Puerto Rico	0	59.9
0600000US7205526760	Ensenada barrio, Guánica Municipio, Puerto Rico	0	42.6
0600000US7205531232	Guánica barrio-pueblo, Guánica Municipio, Puerto Rico	0	61.7
0600000US7205554022	Montalva barrio, Guánica Municipio, Puerto Rico	1.1	52.9
0600000US7205581112	Susúa Baja barrio, Guánica Municipio, Puerto Rico	0.8	66.1
0600000US7205700000	Municipio subdivision not defined, Guayama Municipio, Puerto Rico	0	-
0600000US7205701691	Algarrobo barrio, Guayama Municipio, Puerto Rico	-	26
0600000US7205710549	Caimital barrio, Guayama Municipio, Puerto Rico	1.2	30.8
0600000US7205714075	Carite barrio, Guayama Municipio, Puerto Rico	0.2	41
0600000US7205714161	Carmen barrio, Guayama Municipio, Puerto Rico	0	71.8
0600000US7205730845	Guamaní barrio, Guayama Municipio, Puerto Rico	0	40.1
0600000US7205732264	Guayama barrio-pueblo, Guayama Municipio, Puerto Rico	1.4	47.6
0600000US7205738714	Jobos barrio, Guayama Municipio, Puerto Rico	1	51.7
0600000US7205748217	Machete barrio, Guayama Municipio, Puerto Rico	0.9	48.2
0600000US7205758494	Palmas barrio, Guayama Municipio, Puerto Rico	0	43
0600000US7205764256	Pozo Hondo barrio, Guayama Municipio, Puerto Rico	0	73.3
0600000US7205900000	Municipio subdivision not defined, Guayanilla Municipio, Puerto Rico	2.7	-
0600000US7205905905	Barrero barrio, Guayanilla Municipio, Puerto Rico	-	49.6
0600000US7205907840	Boca barrio, Guayanilla Municipio, Puerto Rico	0	49.5
0600000US7205915795	Cedro barrio, Guayanilla Municipio, Puerto Rico	0	-
0600000US7205920052	Consejo barrio, Guayanilla Municipio, Puerto Rico	-	48.1
0600000US7205932350	Guayanilla barrio-pueblo, Guayanilla Municipio, Puerto Rico	0	35.7
0600000US7205936220	Indios barrio, Guayanilla Municipio, Puerto Rico	0.4	45.5
0600000US7205937252	Jagua Pasto barrio, Guayanilla Municipio, Puerto Rico	0	83.3
0600000US7205937381	Jaguas barrio, Guayanilla Municipio, Puerto Rico	0	65.7
0600000US7205945852	Llano barrio, Guayanilla Municipio, Puerto Rico	0	67.9
0600000US7205948088	Macaná barrio, Guayanilla Municipio, Puerto Rico	0	46.3
0600000US7205948518	Magas barrio, Guayanilla Municipio, Puerto Rico	0.1	51
0600000US7205960128	Pasto barrio, Guayanilla Municipio, Puerto Rico	0	90
0600000US7205962708	Playa barrio, Guayanilla Municipio, Puerto Rico	0	62.8
0600000US7205967438	Quebrada Honda barrio, Guayanilla Municipio, Puerto Rico	0	33.3
0600000US7205967696	Quebradas barrio, Guayanilla Municipio, Puerto Rico	0	50.4
0600000US7205972813	Rufina barrio, Guayanilla Municipio, Puerto Rico	1.5	74.2
0600000US7205980209	Sierra Baja barrio, Guayanilla Municipio, Puerto Rico	0	51.6
0600000US7206111280	Camarones barrio, Guaynabo Municipio, Puerto Rico	0	41.1
0600000US7206129469	Frailes barrio, Guaynabo Municipio, Puerto Rico	1.4	18.7
0600000US7206131490	Guaraguao barrio, Guaynabo Municipio, Puerto Rico	8.2	48.7
0600000US7206132565	Guaynabo barrio-pueblo, Guaynabo Municipio, Puerto Rico	0	30
0600000US7206133726	Hato Nuevo barrio, Guaynabo Municipio, Puerto Rico	5.5	32.4
0600000US7206149593	Mamey barrio, Guaynabo Municipio, Puerto Rico	2.2	28.4
0600000US7206165073	Pueblo Viejo barrio, Guaynabo Municipio, Puerto Rico	0.5	22.7
0600000US7206169717	Río barrio, Guaynabo Municipio, Puerto Rico	9.1	24.6
0600000US7206179048	Santa Rosa barrio, Guaynabo Municipio, Puerto Rico	4.5	14.7
0600000US7206180510	Sonadora barrio, Guaynabo Municipio, Puerto Rico	5.3	41.3
0600000US7206316483	Celada barrio, Gurabo Municipio, Puerto Rico	1.3	41.5
0600000US7206332866	Gurabo barrio-pueblo, Gurabo Municipio, Puerto Rico	1.5	59.9
0600000US7206333769	Hato Nuevo barrio, Gurabo Municipio, Puerto Rico	1.5	43.5
0600000US7206337295	Jaguar barrio, Gurabo Municipio, Puerto Rico	0.4	25.5
0600000US7206337424	Jaguas barrio, Gurabo Municipio, Puerto Rico	11.1	43.5
0600000US7206349636	Mamey barrio, Gurabo Municipio, Puerto Rico	0.9	30.5
0600000US7206351786	Masa barrio, Gurabo Municipio, Puerto Rico	1.7	55.4
0600000US7206356473	Navarro barrio, Gurabo Municipio, Puerto Rico	0.4	14.1
0600000US7206367524	Quebrada Infierno barrio, Gurabo Municipio, Puerto Rico	1.1	34.8
0600000US7206369545	Rincón barrio, Gurabo Municipio, Puerto Rico	1.5	26.8
0600000US7206500000	Municipio subdivision not defined, Hatillo Municipio, Puerto Rico	1.5	-
0600000US7206501347	Aibonito barrio, Hatillo Municipio, Puerto Rico	-	42.9
0600000US7206507066	Bayaney barrio, Hatillo Municipio, Puerto Rico	0	57.7
0600000US7206509216	Buena Vista barrio, Hatillo Municipio, Puerto Rico	0.4	45.6
0600000US7206511624	Campo Alegre barrio, Hatillo Municipio, Puerto Rico	0	45.9
0600000US7206513688	Capáez barrio, Hatillo Municipio, Puerto Rico	1.2	54
0600000US7206514677	Carrizales barrio, Hatillo Municipio, Puerto Rico	0.4	40
0600000US7206520525	Corcovado barrio, Hatillo Municipio, Puerto Rico	0.6	38.5
0600000US7206533339	Hatillo barrio, Hatillo Municipio, Puerto Rico	1.9	42.4
0600000US7206533382	Hatillo barrio-pueblo, Hatillo Municipio, Puerto Rico	1.5	51.8
0600000US7206556086	Naranjito barrio, Hatillo Municipio, Puerto Rico	4.6	41.9
0600000US7206707453	Benavente barrio, Hormigueros Municipio, Puerto Rico	0.3	0
0600000US7206731060	Guanajibo barrio, Hormigueros Municipio, Puerto Rico	0	30.2
0600000US7206735075	Hormigueros barrio, Hormigueros Municipio, Puerto Rico	2.3	28.4
0600000US7206735102	Hormigueros barrio-pueblo, Hormigueros Municipio, Puerto Rico	1.4	27.4
0600000US7206737768	Jaguitas barrio, Hormigueros Municipio, Puerto Rico	0	33
0600000US7206745035	Lavadero barrio, Hormigueros Municipio, Puerto Rico	0	30
0600000US7206900000	Municipio subdivision not defined, Humacao Municipio, Puerto Rico	0	-
0600000US7206903239	Antón Ruíz barrio, Humacao Municipio, Puerto Rico	-	43.2
0600000US7206909302	Buena Vista barrio, Humacao Municipio, Puerto Rico	0.5	45.8
0600000US7206912570	Candelero Abajo barrio, Humacao Municipio, Puerto Rico	0.4	23.1
0600000US7206912656	Candelero Arriba barrio, Humacao Municipio, Puerto Rico	3.7	43
0600000US7206915279	Cataño barrio, Humacao Municipio, Puerto Rico	0.4	42.6
0600000US7206919106	Collores barrio, Humacao Municipio, Puerto Rico	1.6	27.2
0600000US7206935575	Humacao barrio-pueblo, Humacao Municipio, Puerto Rico	1.2	39.5
0600000US7206948002	Mabú barrio, Humacao Municipio, Puerto Rico	3.5	42.3
0600000US7206949507	Mambiche barrio, Humacao Municipio, Puerto Rico	0	48.6
0600000US7206950883	Mariana barrio, Humacao Municipio, Puerto Rico	0	43.9
0600000US7206966535	Punta Santiago barrio, Humacao Municipio, Puerto Rico	0.9	41.5
0600000US7206969975	Río Abajo barrio, Humacao Municipio, Puerto Rico	0.3	36.3
0600000US7206981800	Tejas barrio, Humacao Municipio, Puerto Rico	1.6	35.6
0600000US7207100000	Municipio subdivision not defined, Isabela Municipio, Puerto Rico	3.1	-
0600000US7207103669	Arenales Altos barrio, Isabela Municipio, Puerto Rico	-	73.8
0600000US7207103712	Arenales Bajos barrio, Isabela Municipio, Puerto Rico	0.8	54.6
0600000US7207104805	Bajura barrio, Isabela Municipio, Puerto Rico	0	44.6
0600000US7207107324	Bejucos barrio, Isabela Municipio, Puerto Rico	0	48.4
0600000US7207121084	Coto barrio, Isabela Municipio, Puerto Rico	0	53.4
0600000US7207129899	Galateo Alto barrio, Isabela Municipio, Puerto Rico	0.9	73
0600000US7207129985	Galateo Bajo barrio, Isabela Municipio, Puerto Rico	0	58
0600000US7207132092	Guayabos barrio, Isabela Municipio, Puerto Rico	0	66.8
0600000US7207132737	Guerrero barrio, Isabela Municipio, Puerto Rico	3.2	52.8
0600000US7207136521	Isabela barrio-pueblo, Isabela Municipio, Puerto Rico	1.6	49.9
0600000US7207138757	Jobos barrio, Isabela Municipio, Puerto Rico	0.8	53.4
0600000US7207145809	Llanadas barrio, Isabela Municipio, Puerto Rico	1.2	62.2
0600000US7207154925	Mora barrio, Isabela Municipio, Puerto Rico	0	42.4
0600000US7207162407	Planas barrio, Isabela Municipio, Puerto Rico	1.3	71.8
0600000US7207318676	Coabey barrio, Jayuya Municipio, Puerto Rico	1.6	45.5
0600000US7207319192	Collores barrio, Jayuya Municipio, Puerto Rico	0	20.6
0600000US7207338198	Jauca barrio, Jayuya Municipio, Puerto Rico	0	14.6
0600000US7207338413	Jayuya barrio-pueblo, Jayuya Municipio, Puerto Rico	3.3	62
0600000US7207338542	Jayuya Abajo barrio, Jayuya Municipio, Puerto Rico	0	33.5
0600000US7207349937	Mameyes Arriba barrio, Jayuya Municipio, Puerto Rico	0.5	75.5
0600000US7207361461	Pica barrio, Jayuya Municipio, Puerto Rico	0	65.1
0600000US7207371007	Río Grande barrio, Jayuya Municipio, Puerto Rico	0	49.7
0600000US7207374748	Saliente barrio, Jayuya Municipio, Puerto Rico	0	63.9
0600000US7207385670	Veguitas barrio, Jayuya Municipio, Puerto Rico	0	52.5
0600000US7207388465	Zamas barrio, Jayuya Municipio, Puerto Rico	0	64.5
0600000US7207500000	Municipio subdivision not defined, Juana Díaz Municipio, Puerto Rico	0	-
0600000US7207502551	Amuelas barrio, Juana Díaz Municipio, Puerto Rico	-	46.9
0600000US7207510979	Callabo barrio, Juana Díaz Municipio, Puerto Rico	0.7	37.4
0600000US7207513903	Capitanejo barrio, Juana Díaz Municipio, Puerto Rico	2.4	53.5
0600000US7207518504	Cintrona barrio, Juana Díaz Municipio, Puerto Rico	0	50.2
0600000US7207519278	Collores barrio, Juana Díaz Municipio, Puerto Rico	0	54.9
0600000US7207526588	Emajagual barrio, Juana Díaz Municipio, Puerto Rico	0.5	-
0600000US7207531920	Guayabal barrio, Juana Díaz Municipio, Puerto Rico	-	61.9
0600000US7207536994	Jacaguas barrio, Juana Díaz Municipio, Puerto Rico	0.2	52.3
0600000US7207539015	Juana Díaz barrio-pueblo, Juana Díaz Municipio, Puerto Rico	0.6	40.9
0600000US7207546712	Lomas barrio, Juana Díaz Municipio, Puerto Rico	1.4	35.5
0600000US7207570749	Río Cañas Abajo barrio, Juana Díaz Municipio, Puerto Rico	0	37.8
0600000US7207570835	Río Cañas Arriba barrio, Juana Díaz Municipio, Puerto Rico	0.6	72.4
0600000US7207573845	Sabana Llana barrio, Juana Díaz Municipio, Puerto Rico	0	50.9
0600000US7207582316	Tijeras barrio, Juana Díaz Municipio, Puerto Rico	0.1	36.1
0600000US7207710678	Caimito barrio, Juncos Municipio, Puerto Rico	1.4	43.9
0600000US7207716311	Ceiba Norte barrio, Juncos Municipio, Puerto Rico	0.6	35.7
0600000US7207716354	Ceiba Sur barrio, Juncos Municipio, Puerto Rico	0.5	41.1
0600000US7207732952	Gurabo Abajo barrio, Juncos Municipio, Puerto Rico	0	44.7
0600000US7207732995	Gurabo Arriba barrio, Juncos Municipio, Puerto Rico	0	57.9
0600000US7207739617	Juncos barrio-pueblo, Juncos Municipio, Puerto Rico	0	46.3
0600000US7207745723	Lirios barrio, Juncos Municipio, Puerto Rico	4.7	54.8
0600000US7207749679	Mamey barrio, Juncos Municipio, Puerto Rico	0.3	26.3
0600000US7207784810	Valenciano Abajo barrio, Juncos Municipio, Puerto Rico	0	44
0600000US7207784853	Valenciano Arriba barrio, Juncos Municipio, Puerto Rico	1	29.1
0600000US7207900000	Municipio subdivision not defined, Lajas Municipio, Puerto Rico	0	-
0600000US7207912398	Candelaria barrio, Lajas Municipio, Puerto Rico	-	61.5
0600000US7207921041	Costa barrio, Lajas Municipio, Puerto Rico	0	45.7
0600000US7207940993	Lajas barrio, Lajas Municipio, Puerto Rico	2	38.1
0600000US7207941036	Lajas barrio-pueblo, Lajas Municipio, Puerto Rico	0.8	75.8
0600000US7207941165	Lajas Arriba barrio, Lajas Municipio, Puerto Rico	0	52.7
0600000US7207945981	Llanos barrio, Lajas Municipio, Puerto Rico	0.3	51.4
0600000US7207958193	Palmarejo barrio, Lajas Municipio, Puerto Rico	2.1	55.2
0600000US7207959526	Parguera barrio, Lajas Municipio, Puerto Rico	0	59.1
0600000US7207959569	París barrio, Lajas Municipio, Puerto Rico	0	52.9
0600000US7207962579	Plata barrio, Lajas Municipio, Puerto Rico	0	75.8
0600000US7207974318	Sabana Yeguas barrio, Lajas Municipio, Puerto Rico	0	35.6
0600000US7207979091	Santa Rosa barrio, Lajas Municipio, Puerto Rico	3.2	40.1
0600000US7208106378	Bartolo barrio, Lares Municipio, Puerto Rico	0	56.9
0600000US7208109517	Buenos Aires barrio, Lares Municipio, Puerto Rico	0	58.2
0600000US7208111022	Callejones barrio, Lares Municipio, Puerto Rico	0	53.9
0600000US7208127319	Espino barrio, Lares Municipio, Puerto Rico	1.1	45.9
0600000US7208142541	Lares barrio, Lares Municipio, Puerto Rico	0	65.5
0600000US7208142584	Lares barrio-pueblo, Lares Municipio, Puerto Rico	0	56.8
0600000US7208144777	La Torre barrio, Lares Municipio, Puerto Rico	0	54.8
0600000US7208153721	Mirasol barrio, Lares Municipio, Puerto Rico	1.3	55.6
0600000US7208161418	Pezuela barrio, Lares Municipio, Puerto Rico	0	100
0600000US7208161848	Piletas barrio, Lares Municipio, Puerto Rico	0	66.7
0600000US7208164600	Pueblo barrio, Lares Municipio, Puerto Rico	0.7	51.6
0600000US7208171609	Río Prieto barrio, Lares Municipio, Puerto Rico	2.6	96.2
0600000US7208302379	Alto Sano barrio, Las Marías Municipio, Puerto Rico	0	67.9
0600000US7208303110	Anones barrio, Las Marías Municipio, Puerto Rico	0	63.5
0600000US7208308829	Bucarabones barrio, Las Marías Municipio, Puerto Rico	0	41.6
0600000US7208309345	Buena Vista barrio, Las Marías Municipio, Puerto Rico	0	47.9
0600000US7208317386	Cerrote barrio, Las Marías Municipio, Puerto Rico	2.8	60.3
0600000US7208317472	Chamorro barrio, Las Marías Municipio, Puerto Rico	3.2	54.5
0600000US7208327362	Espino barrio, Las Marías Municipio, Puerto Rico	0	50.9
0600000US7208329770	Furnias barrio, Las Marías Municipio, Puerto Rico	0	54.5
0600000US7208343831	Las Marías barrio-pueblo, Las Marías Municipio, Puerto Rico	0	50.8
0600000US7208350539	Maravilla Este barrio, Las Marías Municipio, Puerto Rico	0	48.8
0600000US7208350582	Maravilla Norte barrio, Las Marías Municipio, Puerto Rico	0	31
0600000US7208350600	Maravilla Sur barrio, Las Marías Municipio, Puerto Rico	0	53.9
0600000US7208355957	Naranjales barrio, Las Marías Municipio, Puerto Rico	1.1	42.7
0600000US7208357892	Palma Escrita barrio, Las Marías Municipio, Puerto Rico	0	51.4
0600000US7208366621	Purísima Concepción barrio, Las Marías Municipio, Puerto Rico	4	69.5
0600000US7208370663	Río Cañas barrio, Las Marías Municipio, Puerto Rico	0	35.1
0600000US7208508141	Boquerón barrio, Las Piedras Municipio, Puerto Rico	0	54.9
0600000US7208516096	Ceiba barrio, Las Piedras Municipio, Puerto Rico	0	43
0600000US7208519321	Collores barrio, Las Piedras Municipio, Puerto Rico	0	42.9
0600000US7208526158	El Río barrio, Las Piedras Municipio, Puerto Rico	0	49.2
0600000US7208544433	Las Piedras barrio-pueblo, Las Piedras Municipio, Puerto Rico	1.1	68.1
0600000US7208554710	Montones barrio, Las Piedras Municipio, Puerto Rico	0	41.5
0600000US7208566793	Quebrada Arenas barrio, Las Piedras Municipio, Puerto Rico	0	46.7
0600000US7208581843	Tejas barrio, Las Piedras Municipio, Puerto Rico	0	37.3
0600000US7208700000	Municipio subdivision not defined, Loíza Municipio, Puerto Rico	1.6	-
0600000US7208713043	Canóvanas barrio, Loíza Municipio, Puerto Rico	-	23.5
0600000US7208746411	Loíza barrio-pueblo, Loíza Municipio, Puerto Rico	2.6	58.7
0600000US7208752732	Medianía Alta barrio, Loíza Municipio, Puerto Rico	1.6	47.8
0600000US7208752775	Medianía Baja barrio, Loíza Municipio, Puerto Rico	2.5	49.1
0600000US7208783090	Torrecilla Alta barrio, Loíza Municipio, Puerto Rico	0.7	-
0600000US7208783133	Torrecilla Baja barrio, Loíza Municipio, Puerto Rico	-	36.7
0600000US7208900000	Municipio subdivision not defined, Luquillo Municipio, Puerto Rico	1.4	-
0600000US7208939316	Juan Martín barrio, Luquillo Municipio, Puerto Rico	-	31.2
0600000US7208947830	Luquillo barrio-pueblo, Luquillo Municipio, Puerto Rico	0	43.7
0600000US7208949980	Mameyes I barrio, Luquillo Municipio, Puerto Rico	1.7	58.9
0600000US7208951872	Mata de Plátano barrio, Luquillo Municipio, Puerto Rico	1	36.3
0600000US7208962364	Pitahaya barrio, Luquillo Municipio, Puerto Rico	2.7	41.6
0600000US7208973071	Sabana barrio, Luquillo Municipio, Puerto Rico	1.3	52.2
0600000US7209100000	Municipio subdivision not defined, Manatí Municipio, Puerto Rico	1.4	-
0600000US7209104873	Bajura Adentro barrio, Manatí Municipio, Puerto Rico	-	50.1
0600000US7209104916	Bajura Afuera barrio, Manatí Municipio, Puerto Rico	5.1	16.7
0600000US7209121342	Coto Norte barrio, Manatí Municipio, Puerto Rico	0	39.6
0600000US7209121471	Coto Sur barrio, Manatí Municipio, Puerto Rico	0.4	39.6
0600000US7209150195	Manatí barrio-pueblo, Manatí Municipio, Puerto Rico	0.1	56.2
0600000US7209170319	Río Arriba Poniente barrio, Manatí Municipio, Puerto Rico	0.5	50.9
0600000US7209170362	Río Arriba Saliente barrio, Manatí Municipio, Puerto Rico	0	39.2
0600000US7209182230	Tierras Nuevas Poniente barrio, Manatí Municipio, Puerto Rico	0	45.1
0600000US7209182273	Tierras Nuevas Saliente barrio, Manatí Municipio, Puerto Rico	0.4	35.7
0600000US7209308872	Bucarabones barrio, Maricao Municipio, Puerto Rico	0.6	-
0600000US7209336091	Indiera Alta barrio, Maricao Municipio, Puerto Rico	-	88.1
0600000US7209336134	Indiera Baja barrio, Maricao Municipio, Puerto Rico	0	50
0600000US7209336156	Indiera Fría barrio, Maricao Municipio, Puerto Rico	3.6	81.4
0600000US7209351313	Maricao barrio-pueblo, Maricao Municipio, Puerto Rico	0	41
0600000US7209351399	Maricao Afuera barrio, Maricao Municipio, Puerto Rico	0	46.4
0600000US7209354753	Montoso barrio, Maricao Municipio, Puerto Rico	0	84.1
0600000US7209500000	Municipio subdivision not defined, Maunabo Municipio, Puerto Rico	0	-
0600000US7209511108	Calzada barrio, Maunabo Municipio, Puerto Rico	-	35.2
0600000US7209526545	Emajagua barrio, Maunabo Municipio, Puerto Rico	0	45.5
0600000US7209545766	Lizas barrio, Maunabo Municipio, Puerto Rico	0	59.3
0600000US7209552173	Matuyas Alto barrio, Maunabo Municipio, Puerto Rico	0	87.8
0600000US7209552216	Matuyas Bajo barrio, Maunabo Municipio, Puerto Rico	0	55.4
0600000US7209552302	Maunabo barrio-pueblo, Maunabo Municipio, Puerto Rico	0	35.4
0600000US7209559182	Palo Seco barrio, Maunabo Municipio, Puerto Rico	1.6	61.3
0600000US7209566836	Quebrada Arenas barrio, Maunabo Municipio, Puerto Rico	0.4	50.9
0600000US7209581370	Talante barrio, Maunabo Municipio, Puerto Rico	0	58.4
0600000US7209583798	Tumbao barrio, Maunabo Municipio, Puerto Rico	0	52.8
0600000US7209700000	Municipio subdivision not defined, Mayagüez Municipio, Puerto Rico	0	-
0600000US7209701820	Algarrobos barrio, Mayagüez Municipio, Puerto Rico	-	23.6
0600000US7209706464	Bateyes barrio, Mayagüez Municipio, Puerto Rico	2.4	47.9
0600000US7209731103	Guanajibo barrio, Mayagüez Municipio, Puerto Rico	1.5	41.9
0600000US7209736650	Isla de Mona e Islote Monito barrio, Mayagüez Municipio, Puerto Rico	2.1	-
0600000US7209739101	Juan Alonso barrio, Mayagüez Municipio, Puerto Rico	0	31.5
0600000US7209745250	Leguísamo barrio, Mayagüez Municipio, Puerto Rico	3.8	45.7
0600000US7209745551	Limón barrio, Mayagüez Municipio, Puerto Rico	1.4	36.5
0600000US7209749378	Malezas barrio, Mayagüez Municipio, Puerto Rico	2	55.2
0600000US7209752474	Mayagüez barrio-pueblo, Mayagüez Municipio, Puerto Rico	0	67.4
0600000US7209752560	Mayagüez Arriba barrio, Mayagüez Municipio, Puerto Rico	2.4	43.2
0600000US7209753420	Miradero barrio, Mayagüez Municipio, Puerto Rico	3	20.1
0600000US7209754796	Montoso barrio, Mayagüez Municipio, Puerto Rico	4.5	56.3
0600000US7209756000	Naranjales barrio, Mayagüez Municipio, Puerto Rico	2.9	55.9
0600000US7209767352	Quebrada Grande barrio, Mayagüez Municipio, Puerto Rico	0	40
0600000US7209768126	Quemado barrio, Mayagüez Municipio, Puerto Rico	0.3	38.4
0600000US7209770792	Río Cañas Abajo barrio, Mayagüez Municipio, Puerto Rico	2.1	18.5
0600000US7209770878	Río Cañas Arriba barrio, Mayagüez Municipio, Puerto Rico	3.6	51.1
0600000US7209771308	Río Hondo barrio, Mayagüez Municipio, Puerto Rico	0	42
0600000US7209772340	Rosario barrio, Mayagüez Municipio, Puerto Rico	1.2	49.3
0600000US7209772899	Sábalos barrio, Mayagüez Municipio, Puerto Rico	1.2	47.5
0600000US7209774361	Sabanetas barrio, Mayagüez Municipio, Puerto Rico	0.9	48.2
0600000US7209900229	Aceitunas barrio, Moca Municipio, Puerto Rico	1.9	47.1
0600000US7209913602	Capá barrio, Moca Municipio, Puerto Rico	0.4	42
0600000US7209916698	Centro barrio, Moca Municipio, Puerto Rico	0.6	41.5
0600000US7209917257	Cerro Gordo barrio, Moca Municipio, Puerto Rico	1.1	60.2
0600000US7209921858	Cruz barrio, Moca Municipio, Puerto Rico	0	57.5
0600000US7209922331	Cuchillas barrio, Moca Municipio, Puerto Rico	0	58
0600000US7209951184	Marías barrio, Moca Municipio, Puerto Rico	0.2	57.9
0600000US7209953850	Moca barrio-pueblo, Moca Municipio, Puerto Rico	0	41.3
0600000US7209956387	Naranjo barrio, Moca Municipio, Puerto Rico	0	55.8
0600000US7209962622	Plata barrio, Moca Municipio, Puerto Rico	0	72
0600000US7209964643	Pueblo barrio, Moca Municipio, Puerto Rico	0	50.5
0600000US7209971953	Rocha barrio, Moca Municipio, Puerto Rico	0.3	52.5
0600000US7209987648	Voladoras barrio, Moca Municipio, Puerto Rico	0.8	45.8
0600000US7210105260	Barahona barrio, Morovis Municipio, Puerto Rico	0.3	56.9
0600000US7210122374	Cuchillas barrio, Morovis Municipio, Puerto Rico	0.7	70.7
0600000US7210129598	Fránquez barrio, Morovis Municipio, Puerto Rico	0	60.2
0600000US7210154538	Monte Llano barrio, Morovis Municipio, Puerto Rico	0.3	66.7
0600000US7210155140	Morovis barrio-pueblo, Morovis Municipio, Puerto Rico	0	63.5
0600000US7210155183	Morovis Norte barrio, Morovis Municipio, Puerto Rico	0.1	43.4
0600000US7210155226	Morovis Sud barrio, Morovis Municipio, Puerto Rico	0.8	42.1
0600000US7210160214	Pasto barrio, Morovis Municipio, Puerto Rico	0.8	60.3
0600000US7210161160	Perchas barrio, Morovis Municipio, Puerto Rico	0	50
0600000US7210171050	Río Grande barrio, Morovis Municipio, Puerto Rico	0	52.3
0600000US7210176984	San Lorenzo barrio, Morovis Municipio, Puerto Rico	0	74.9
0600000US7210183219	Torrecillas barrio, Morovis Municipio, Puerto Rico	0	54.8
0600000US7210183993	Unibón barrio, Morovis Municipio, Puerto Rico	0	53.3
0600000US7210184638	Vaga barrio, Morovis Municipio, Puerto Rico	0	75.6
0600000US7210300000	Municipio subdivision not defined, Naguabo Municipio, Puerto Rico	0	-
0600000US7210323105	Daguao barrio, Naguabo Municipio, Puerto Rico	-	46.8
0600000US7210324438	Duque barrio, Naguabo Municipio, Puerto Rico	0	44.6
0600000US7210335489	Húcares barrio, Naguabo Municipio, Puerto Rico	1.7	58.4
0600000US7210349163	Maizales barrio, Naguabo Municipio, Puerto Rico	0.3	46
0600000US7210350969	Mariana barrio, Naguabo Municipio, Puerto Rico	0	36.9
0600000US7210355871	Naguabo barrio-pueblo, Naguabo Municipio, Puerto Rico	3.7	77.6
0600000US7210360988	Peña Pobre barrio, Naguabo Municipio, Puerto Rico	0	47.2
0600000US7210369803	Río barrio, Naguabo Municipio, Puerto Rico	0.7	44.6
0600000US7210370491	Río Blanco barrio, Naguabo Municipio, Puerto Rico	0.2	31.8
0600000US7210379521	Santiago y Lima barrio, Naguabo Municipio, Puerto Rico	0	68.6
0600000US7210500315	Achiote barrio, Naranjito Municipio, Puerto Rico	2.3	51.6
0600000US7210503153	Anones barrio, Naranjito Municipio, Puerto Rico	2.4	66
0600000US7210515838	Cedro Abajo barrio, Naranjito Municipio, Puerto Rico	0	54.5
0600000US7210515881	Cedro Arriba barrio, Naranjito Municipio, Puerto Rico	0	46.2
0600000US7210530673	Guadiana barrio, Naranjito Municipio, Puerto Rico	2	48
0600000US7210546755	Lomas barrio, Naranjito Municipio, Puerto Rico	0.1	54.9
0600000US7210556172	Naranjito barrio-pueblo, Naranjito Municipio, Puerto Rico	0.5	67.3
0600000US7210556817	Nuevo barrio, Naranjito Municipio, Puerto Rico	0	46.7
0600000US7210701433	Ala de la Piedra barrio, Orocovis Municipio, Puerto Rico	0	88.2
0600000US7210706335	Barros barrio, Orocovis Municipio, Puerto Rico	0	61.4
0600000US7210706507	Bauta Abajo barrio, Orocovis Municipio, Puerto Rico	2.1	64.9
0600000US7210706550	Bauta Arriba barrio, Orocovis Municipio, Puerto Rico	0	34.1
0600000US7210707625	Bermejales barrio, Orocovis Municipio, Puerto Rico	4.9	73.9
0600000US7210708614	Botijas barrio, Orocovis Municipio, Puerto Rico	14.6	60.1
0600000US7210710205	Cacaos barrio, Orocovis Municipio, Puerto Rico	1.1	83
0600000US7210719364	Collores barrio, Orocovis Municipio, Puerto Rico	0	82.5
0600000US7210723234	Damián Abajo barrio, Orocovis Municipio, Puerto Rico	0	38.6
0600000US7210723277	Damián Arriba barrio, Orocovis Municipio, Puerto Rico	0	41.9
0600000US7210730501	Gato barrio, Orocovis Municipio, Puerto Rico	0	54.2
0600000US7210751829	Mata de Cañas barrio, Orocovis Municipio, Puerto Rico	0	65
0600000US7210757333	Orocovis barrio, Orocovis Municipio, Puerto Rico	0	57.6
0600000US7210757376	Orocovis barrio-pueblo, Orocovis Municipio, Puerto Rico	0.4	77.9
0600000US7210760816	Pellejas barrio, Orocovis Municipio, Puerto Rico	7.3	78
