Code	Barrio	Foreign born	Percent; PERCENTAGE OF FAMILIES AND PEOPLE WHOSE INCOME IN THE PAST 12 MONTHS IS BELOW THE POVERTY LEVEL - All families
0600000US7200962536	Plata barrio, Aibonito Municipio, Puerto Rico	0.5	32.5
0600000US7200971867	Robles barrio, Aibonito Municipio, Puerto Rico	0	46.2
0600000US7201100000	Municipio subdivision not defined, Añasco Municipio, Puerto Rico	1.6	-
0600000US7201102637	Añasco barrio-pueblo, Añasco Municipio, Puerto Rico	-	70.8
0600000US7201102723	Añasco Abajo barrio, Añasco Municipio, Puerto Rico	0.1	-
0600000US7201102766	Añasco Arriba barrio, Añasco Municipio, Puerto Rico	-	18.6
0600000US7201110248	Caguabo barrio, Añasco Municipio, Puerto Rico	0.8	62.4
0600000US7201113989	Caracol barrio, Añasco Municipio, Puerto Rico	0.8	28.5
0600000US7201114462	Carreras barrio, Añasco Municipio, Puerto Rico	0	30.6
0600000US7201114978	Casey Abajo barrio, Añasco Municipio, Puerto Rico	0.4	45.7
0600000US7201115021	Casey Arriba barrio, Añasco Municipio, Puerto Rico	4.9	85.1
0600000US7201117128	Cerro Gordo barrio, Añasco Municipio, Puerto Rico	0	50.4
0600000US7201118031	Cidra barrio, Añasco Municipio, Puerto Rico	0	64
0600000US7201120439	Corcovada barrio, Añasco Municipio, Puerto Rico	0	56.9
0600000US7201123148	Dagüey barrio, Añasco Municipio, Puerto Rico	0	55.4
0600000US7201127276	Espino barrio, Añasco Municipio, Puerto Rico	1.1	31.3
0600000US7201133253	Hatillo barrio, Añasco Municipio, Puerto Rico	0	48.9
0600000US7201135661	Humatas barrio, Añasco Municipio, Puerto Rico	0.5	67
0600000US7201151141	Marías barrio, Añasco Municipio, Puerto Rico	0	50.6
0600000US7201153463	Miraflores barrio, Añasco Municipio, Puerto Rico	1.2	69.5
0600000US7201157591	Ovejas barrio, Añasco Municipio, Puerto Rico	2.4	57.6
0600000US7201161934	Piñales barrio, Añasco Municipio, Puerto Rico	0	50.8
0600000US7201162665	Playa barrio, Añasco Municipio, Puerto Rico	0.5	54.6
0600000US7201167567	Quebrada Larga barrio, Añasco Municipio, Puerto Rico	0	42.6
0600000US7201170147	Río Arriba barrio, Añasco Municipio, Puerto Rico	0	40
0600000US7201170534	Río Cañas barrio, Añasco Municipio, Puerto Rico	7.1	100
0600000US7201300000	Municipio subdivision not defined, Arecibo Municipio, Puerto Rico	0	-
0600000US7201303411	Arecibo barrio-pueblo, Arecibo Municipio, Puerto Rico	-	68.2
0600000US7201303540	Arenalejos barrio, Arecibo Municipio, Puerto Rico	1.9	37.1
0600000US7201304056	Arrozal barrio, Arecibo Municipio, Puerto Rico	0	69.3
0600000US7201311323	Cambalache barrio, Arecibo Municipio, Puerto Rico	1	35.5
0600000US7201314505	Carreras barrio, Arecibo Municipio, Puerto Rico	0	67.5
0600000US7201323750	Domingo Ruíz barrio, Arecibo Municipio, Puerto Rico	0	49.6
0600000US7201323836	Dominguito barrio, Arecibo Municipio, Puerto Rico	0	40.7
0600000US7201327061	Esperanza barrio, Arecibo Municipio, Puerto Rico	0.6	55.8
0600000US7201327835	Factor barrio, Arecibo Municipio, Puerto Rico	0	40.3
0600000US7201330329	Garrochales barrio, Arecibo Municipio, Puerto Rico	0.4	57.3
0600000US7201333511	Hato Abajo barrio, Arecibo Municipio, Puerto Rico	1.9	33.6
0600000US7201333554	Hato Arriba barrio, Arecibo Municipio, Puerto Rico	1.6	32.9
0600000US7201334199	Hato Viejo barrio, Arecibo Municipio, Puerto Rico	0.5	45.6
0600000US7201336865	Islote barrio, Arecibo Municipio, Puerto Rico	0	46.4
0600000US7201353549	Miraflores barrio, Arecibo Municipio, Puerto Rico	1.8	50
0600000US7201370190	Río Arriba barrio, Arecibo Municipio, Puerto Rico	0	48.8
0600000US7201373759	Sabana Hoyos barrio, Arecibo Municipio, Puerto Rico	0	52.5
0600000US7201378704	Santana barrio, Arecibo Municipio, Puerto Rico	1.6	27.2
0600000US7201381757	Tanamá barrio, Arecibo Municipio, Puerto Rico	1.4	40.6
0600000US7201500000	Municipio subdivision not defined, Arroyo Municipio, Puerto Rico	0.5	-
0600000US7201502809	Ancones barrio, Arroyo Municipio, Puerto Rico	-	51
0600000US7201503970	Arroyo barrio-pueblo, Arroyo Municipio, Puerto Rico	0.3	40.7
0600000US7201531748	Guásimas barrio, Arroyo Municipio, Puerto Rico	1.7	44.5
